threshold,forward_m,runrate_w,labeled_rows,positives,pos_rate,episodes,avg_run_len,churn_frac
0.1,6,3,8766,866,0.0988,289,3.0,0.357
0.1,6,6,8838,886,0.1002,254,3.5,0.374
0.1,12,3,8406,994,0.1182,268,3.7,0.253
0.1,12,6,8478,997,0.1176,209,4.8,0.248
0.15,6,3,8766,651,0.0743,231,2.8,0.418
0.15,6,6,8838,564,0.0638,184,3.1,0.388
0.15,12,3,8406,620,0.0738,199,3.1,0.271
0.15,12,6,8478,593,0.0699,144,4.1,0.258
0.2,6,3,8766,518,0.0591,200,2.6,0.427
0.2,6,6,8838,332,0.0376,111,3.0,0.485
0.2,12,3,8406,465,0.0553,165,2.8,0.305
0.2,12,6,8478,324,0.0382,84,3.9,0.309
0.25,6,3,8766,400,0.0456,163,2.5,0.468
0.25,6,6,8838,245,0.0277,81,3.0,0.49
0.25,12,3,8406,350,0.0416,137,2.6,0.32
0.25,12,6,8478,219,0.0258,58,3.8,0.356
